Time In,Time Out,Tag Category,Tag Description,Status
00:15:59,00:15:59,Nudity,Nudity,-
00:16:10,00:16:10,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:16:11,00:16:11,Nudity,Nudity,-
00:16:14,00:16:15,Drug scene,Drug scene,-
00:16:15,00:16:15,Nudity,Nudity,-
00:16:34,00:16:34,Nudity,Nudity,-
00:16:37,00:16:38,Drug scene,Drug scene,-
00:16:37,00:16:38,Smoking scenes,Smoking scenes,-
00:16:38,00:16:38,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:16:41,00:16:41,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:17:04,00:17:04,Drug scene,Drug scene,-
00:17:20,00:17:20,Drug scene,Drug scene,-
00:18:24.479,00:18:50.199,Profanity,['रंडीबाजी'],-
00:18:50,00:18:50,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:19:09,00:19:11,Drug scene,Drug scene,-
00:19:28,00:19:29,Drug scene,Drug scene,-
00:19:28,00:19:29,Smoking scenes,Smoking scenes,-
00:19:29,00:19:29,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:19:35,00:19:37,Drug scene,Drug scene,-
00:19:35,00:19:37,Smoking scenes,Smoking scenes,-
00:19:39,00:19:40,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:20:02,00:20:02,Drug scene,Drug scene,-
00:20:43,00:20:44,Drug scene,Drug scene,-
00:20:43,00:20:44,Smoking scenes,Smoking scenes,-
00:20:46,00:20:46,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:20:47,00:20:48,Drug scene,Drug scene,-
00:20:47,00:20:48,Smoking scenes,Smoking scenes,-
00:20:54,00:20:54,Drug scene,Drug scene,-
00:20:54,00:20:54,Smoking scenes,Smoking scenes,-
00:21:03,00:21:03,Drug scene,Drug scene,-
00:21:03,00:21:03,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:21:03,00:21:03,Smoking scenes,Smoking scenes,-
00:21:54.010,00:22:22.579,Profanity,"['चूतिया', 'चोदे', 'धंधे', 'चोदे']",-
